,ECG
0,33664
1,33728
2,33664
3,33664
4,33600
5,33408
6,33280
7,33408
8,33600
9,33792
10,33856
11,33664
12,33280
13,32896
14,32896
15,33344
16,34496
17,36352
18,38912
19,40960
20,42880
21,43456
22,41984
23,39040
24,35840
25,33088
26,31104
27,30080
28,29888
29,30080
30,30464
31,30976
32,31616
33,32128
34,32576
35,32960
36,33088
37,33152
38,33280
39,33536
40,33792
41,33920
42,33984
43,33984
44,33856
45,33728
46,33472
47,33280
48,33280
49,33280
50,33472
51,33664
52,33792
53,33856
54,33792
55,33728
56,33536
57,33536
58,33728
59,33984
60,34432
61,34816
62,35072
63,35264
64,35328
65,35456
66,35328
67,35200
68,35136
69,35200
70,35264
71,35328
72,35456
73,35392
74,35264
75,35136
76,35008
77,34944
78,34944
79,34880
80,34880
81,34816
82,34752
83,34624
84,34496
85,34368
86,34432
87,34432
88,34368
89,34240
90,34112
91,34048
92,33920
93,33792
94,33792
95,33856
96,33856
97,33792
98,33664
99,33536
100,33472
101,33408
102,33344
103,33344
104,33408
105,33472
106,33600
107,33728
108,33856
109,33984
110,34112
111,34240
112,34496
113,34560
114,34624
115,34624
116,34624
117,34560
118,34496
119,34304
120,34048
121,33664
122,33344
123,33216
124,33280
125,33536
126,33856
127,34048
128,34112
129,34048
130,33984
131,33920
132,33920
133,33920
134,33984
135,34176
136,34368
137,34560
138,34688
139,34880
140,35072
141,35136
142,35008
143,34816
144,34560
145,34368
146,34304
147,34240
148,34240
149,34176
150,34112
151,34048
152,34112
153,34176
154,34112
155,33984
156,33856
157,33856
158,33984
159,34112
160,34240
161,34560
162,34624
163,34496
164,34368
165,34304
166,34112
167,33792
168,33536
169,33664
170,34432
171,35840
172,37568
173,39552
174,41600
175,43200
176,43200
177,41216
178,38208
179,35328
180,32768
181,31104
182,30528
183,30720
184,31232
185,31744
186,32192
187,32640
188,33088
189,33344
190,33472
191,33600
192,33728
193,33856
194,33984
195,34112
196,34304
197,34496
198,34560
199,34560
200,34496
201,34368
202,34304
203,34240
204,34240
205,34368
206,34432
207,34496
208,34496
209,34496
210,34560
211,34688
212,34816
213,34816
214,34688
215,34688
216,34816
217,34944
218,35136
219,35264
220,35392
221,35392
222,35392
223,35392
224,35392
225,35456
226,35520
227,35648
228,35712
229,35776
230,35840
231,35776
232,35776
233,35776
234,35776
235,35776
236,35776
237,35712
238,35456
239,35328
240,35200
241,35072
242,34944
243,34880
244,34816
245,34752
246,34496
247,34240
248,33984
249,33920
250,33856
251,33920
252,33984
253,34112
254,34176
255,34240
256,34368
257,34432
258,34432
259,34432
260,34432
261,34496
262,34496
263,34496
264,34496
265,34304
266,34240
267,34176
268,34048
269,34112
270,34176
271,34432
272,34624
273,34624
274,34624
275,34624
276,34624
277,34624
278,34688
279,34816
280,34944
281,34944
282,34816
283,34752
284,34688
285,34688
286,34752
287,34816
288,34880
289,34880
290,34944
291,35008
292,35072
293,35136
294,35264
295,35264
296,35200
297,35136
298,35072
299,35008
300,34944
301,34816
302,34816
303,34816
304,34624
305,34496
306,34368
307,34368
308,34432
309,34432
310,34496
311,34560
312,34560
313,34496
314,34560
315,34560
316,34560
317,34432
318,34240
319,34048
320,33856
321,33536
322,33408
323,33600
324,34240
325,35456
326,37120
327,39104
328,41216
329,42880
330,43328
331,41984
332,39424
333,36544
334,33984
335,32000
336,30848
337,30400
338,30528
339,31040
340,31744
341,32448
342,32960
343,33216
344,33408
345,33600
346,33728
347,33920
348,33920
349,33920
350,33920
351,33920
352,33984
353,34048
354,34048
355,33984
356,33920
357,33984
358,34112
359,34112
360,34112
361,34112
362,34112
363,34112
364,34176
365,34176
366,34112
367,34048
368,33984
369,34048
370,34048
371,34112
372,34112
373,34112
374,34240
375,34304
376,34368
377,34432
378,34624
379,34752
380,34880
381,34944
382,35008
383,35136
384,35200
385,35264
386,35264
387,35264
388,35200
389,35072
390,35008
391,34880
392,34752
393,34496
394,34240
395,34048
396,33984
397,33984
398,33920
399,33792
400,33600
401,33344
402,33280
403,33216
404,33216
405,33216
406,33216
407,33344
408,33536
409,33600
410,33600
411,33536
412,33472
413,33408
414,33536
415,33728
416,33920
417,33984
418,33984
419,33920
420,33920
421,33856
422,33792
423,33728
424,33728
425,33792
426,33856
427,33856
428,33920
429,33920
430,33792
431,33664
432,33600
433,33536
434,33280
435,33088
436,33024
437,33088
438,33216
439,33344
440,33536
441,33792
442,34048
443,34240
444,34368
445,34368
446,34240
447,34112
448,33984
449,33920
450,33728
451,33600
452,33536
453,33472
454,33344
455,33280
456,33216
457,33216
458,33152
459,33152
460,33216
461,33280
462,33280
463,33408
464,33472
465,33536
466,33536
467,33472
468,33472
469,33472
470,33408
471,33216
472,32960
473,32896
474,33472
475,34432
476,35968
477,38016
478,40192
479,42432
480,42816
481,41664
482,39168
483,36160
484,33408
485,31424
486,30400
