,ECG
678,35
679,92
680,202
681,333
682,467
683,579
684,634
685,601
686,617
687,693
688,806
689,935
690,1060
691,1150
692,1172
693,1141
694,1141
695,1108
696,1109
697,1131
698,1149
699,1147
700,1110
701,1008
702,844
703,671
704,548
705,485
706,461
707,453
708,439
709,385
710,267
711,107
712,-36
713,-122
714,-157
715,-167
716,-172
717,-202
718,-286
719,-425
720,-562
721,-635
722,-628
723,-463
724,-366
725,-309
726,-325
727,-395
728,-458
729,-469
730,-431
731,-367
732,-296
733,-250
734,-260
735,-330
736,-412
737,-450
738,-428
739,-370
740,-300
741,-238
742,-218
743,-263
744,-349
745,-415
746,-422
747,-379
748,-314
749,-245
750,-200
751,-212
752,-285
753,-367
754,-403
755,-381
756,-325
757,-256
758,-197
759,-225
760,-308
761,-368
762,-366
763,-316
764,-242
765,-164
766,-111
767,-117
768,-182
769,-255
770,-281
771,-250
772,-187
773,-112
774,-47
775,-25
776,-68
777,-149
778,-205
779,-201
780,-149
781,-78
782,-5
783,39
784,23
785,-51
786,-130
787,-162
788,-135
789,-75
790,-2
791,58
792,75
793,25
794,-59
795,-119
796,-76
797,-11
798,54
799,93
800,70
801,-8
802,-92
803,-125
804,-100
805,-44
806,23
807,78
808,87
809,29
810,-61
811,-125
812,-130
813,-90
814,-28
815,33
816,67
817,38
818,-45
819,-131
820,-168
821,-147
822,-96
823,-34
824,17
825,19
826,-42
827,-135
828,-200
829,-206
830,-167
831,-109
832,-52
833,-25
834,-146
835,-232
836,-232
837,-268
838,-250
839,-200
840,-142
841,-97
842,-99
843,-165
844,-261
845,-324
846,-327
847,-284
848,-224
849,-164
850,-133
851,-162
852,-243
853,-320
854,-341
855,-308
856,-249
857,-180
858,-128
859,-125
860,-186
861,-274
862,-328
863,-321
864,-271
865,-205
866,-140
867,-107
868,-138
869,-219
870,-293
871,-314
872,-216
873,-147
874,-94
875,-92
876,-155
877,-242
878,-293
879,-284
880,-234
881,-167
882,-103
883,-73
884,-106
885,-189
886,-264
887,-283
888,-249
889,-187
890,-120
891,-69
892,-70
893,-136
894,-223
895,-273
896,-263
897,-211
898,-144
899,-81
900,-51
901,-86
902,-170
903,-242
904,-259
905,-223
906,-161
907,-94
908,-44
909,-114
910,-201
911,-250
912,-237
913,-185
914,-118
915,-56
916,-29
917,-66
918,-151
919,-222
920,-237
921,-200
922,-138
923,-70
924,-22
925,-30
926,-101
927,-190
928,-239
929,-227
930,-176
931,-108
932,-44
933,-17
934,-54
935,-137
936,-208
937,-222
938,-184
939,-122
940,-55
941,-6
942,-13
943,-82
944,-170
945,-215
946,-149
947,-82
948,-18
949,5
950,-35
951,-120
952,-190
953,-203
954,-165
955,-102
956,-35
957,11
958,3
959,-68
960,-155
961,-200
962,-186
963,-133
964,-67
965,-7
966,12
967,-30
968,-117
969,-186
970,-197
971,-158
972,-96
973,-27
974,18
975,8
976,-63
977,-148
978,-190
979,-190
980,-173
981,-121
982,-55
983,3
984,-25
985,-111
986,-179
987,-190
988,-149
989,-85
990,-19
991,25
992,12
993,-61
994,-145
995,-182
996,-163
997,-108
998,-40
999,18
