,N,Epoch,Situation,Mean,SD,RMSSD,NN50,pNN50,Skewness,Kurtosis,EMG_RMS,EMG_VAR,EMG_MAV,EMG_ENERGY,EMG_ZC,TP,HF,LF,VLF,nLF,nHF,LF/HF,MNF,MDF
0,1,1,Baseline,635.0434782608696,35.37805541989279,35.19090791667644,4,0.08695652173913043,0.4527476044046371,2.753324748108848,6.226320990379721e-06,3.8507350154185445e-11,0.0016208736682565906,4.089926209438147e-08,92,5.876506110023398,5.038548940341434,4.707655273526792,4.252530330132216,38.700836660266766,53.879759383387636,-0.3308936668146417,41.86698864337549,31.18833004426903
1,1,2,Baseline,648.0888888888888,30.689717584756277,29.811529191359384,5,0.1111111111111111,0.8256407486143779,3.117279554154117,1.7125947644502363e-06,2.857360601150599e-12,0.0011759793207907973,3.411056702059605e-09,95,5.8577773054692175,5.082973570050418,4.5044735309482515,4.197384916336438,31.901943578541257,56.892696393973765,-0.5785000391021669,41.99580329480929,31.521681156328338
2,1,3,Baseline,638.695652173913,37.38452921429757,28.838246209581545,4,0.08695652173913043,0.44957805923590494,2.576597316653624,1.8004789398049101e-06,3.1377517156822876e-12,0.0012112232987638498,3.277383381220504e-09,107,5.843777198796139,5.185171958887068,4.591251708939882,3.7791727627206098,32.73070934118667,59.277749166051386,-0.5939202499471858,43.068188026293484,33.11509947197184
3,1,4,Baseline,601.795918367347,21.351269705433268,20.207259421636902,0,0.0,0.19686327774446138,3.001519961386491,2.025195798675058e-06,3.89967921186746e-12,0.0012496211859512579,2.8709926160797743e-09,97,5.65043517515458,4.990270274499873,4.22045933599551,3.913305365666195,29.04392433533291,62.716229311877214,-0.7698109385043639,44.426952882841896,34.70851778761534
4,1,5,Baseline,605.8333333333334,39.17446730829775,25.156531236038628,4,0.08333333333333333,0.5904099796491908,2.6489704210328107,2.3881037463359234e-06,5.409838549084103e-12,0.0013098675647882627,4.824771419761067e-09,105,5.352907939099893,4.715890173315242,3.95655809420216,3.637875435331772,30.181220846191902,64.49269643308392,-0.759332079113082,44.521157102480565,34.681849698650595
5,1,6,Baseline,602.3673469387755,24.63007443006728,15.968719422671311,0,0.0,0.3552756423156742,2.4771038627902593,1.8736407546897582e-06,3.305219688185151e-12,0.001200464681884501,2.4538602446664504e-09,100,5.459601394946122,4.821575748243323,4.072860498696544,3.717679933726374,30.296239427688405,64.0547920620403,-0.7487152495467791,43.46927402691618,33.4751186729959
6,1,7,Baseline,594.4489795918367,13.946049436207177,13.140268896284683,0,0.0,0.21608307291156056,2.5911036222384554,1.0894119739668141e-05,1.1732837025112777e-10,0.0018120993298498863,7.904210870488321e-08,103,5.5707392855905145,4.942635555817779,4.213038536094484,3.5457000774131457,29.636892267571323,61.47416254896958,-0.729597019723294,43.05179397452013,32.93508987145981
7,1,8,Baseline,616.7659574468086,23.260058694385844,20.893102668833915,1,0.02127659574468085,0.5422919320915821,2.7107068816214883,2.220462172010554e-06,4.557284728325649e-12,0.0012832252786350953,4.383172056766216e-09,114,5.694343874224511,4.944466439757957,4.525772500482783,3.7501387495561485,36.27155936641051,55.13186631044314,-0.41869393927517395,42.81192899290094,32.52840151474745
8,1,9,Baseline,605.2244897959183,26.71945351552429,19.949937343260004,0,0.0,0.6201797767101901,2.962133990706063,2.202368091112374e-06,4.240164656145534e-12,0.0012736329412986293,3.448652323421223e-09,103,5.65493571997346,4.942334691699109,4.542077675010248,3.546056742706183,37.401396491057156,55.81066944189478,-0.40025701668886116,42.493642683646875,32.06170995786442
9,1,10,Baseline,606.4166666666666,27.72170729871368,22.18682760443539,1,0.020833333333333332,0.3873921060880013,2.9290435540050273,2.276612417039495e-06,4.713131374766038e-12,0.0013015744312968632,4.001248283207014e-09,94,5.57359741110037,5.008023824374798,4.303353344791151,3.072393991686839,30.583757199706856,61.87644271017675,-0.704670479583648,42.37327227332701,31.795029068216973
10,1,1,Stroop,627.5744680851063,25.952284104659874,24.33819685364872,2,0.0425531914893617,-0.09702980632918518,2.824880697760373,2.0751028602985038e-06,4.135073163703759e-12,0.0012577207814526107,4.151034013109547e-09,113,5.490345931719334,5.0406998091004525,4.205106870058162,2.3708248651737254,28.93682590649821,66.73356006666275,-0.8355929390422902,42.47919108621473,31.815030134940532
11,1,2,Stroop,626.5531914893617,22.902948347448305,27.238080759816043,4,0.0851063829787234,1.0617401901313452,3.833709734730947,2.1381074799340788e-06,4.163484087297885e-12,0.0012702862213427814,4.013780157068549e-09,114,5.434686555638188,4.964997949775181,4.091797189892688,2.8768092252186865,28.301509070773896,67.76974708402469,-0.8732007598824918,42.48334903944411,31.808363112699343
12,1,3,Stroop,624.5957446808511,24.042214269876265,29.209885164175976,7,0.14893617021276595,0.74822987966057,3.224230909888092,2.210509949301017e-06,4.33776112666369e-12,0.0012767786693326474,4.3879461038909885e-09,121,5.468733651282583,4.960680861357266,4.008969883356004,3.3648821454148887,26.456418898943323,68.5257637266139,-0.9517109780012625,42.3371869291296,31.76836097925223
13,1,4,Stroop,616.5,21.781108022014553,24.767858375536598,0,0.0,0.6108636521745866,2.762586026413826,2.296171943063653e-06,4.436027493170322e-12,0.0012999176803956923,4.444637914151016e-09,130,5.523849830093851,4.950547359189133,4.111931251012772,3.6229465390973488,28.648594301570725,66.26888531587821,-0.8386161081763606,42.40899575079269,32.07504400234679
14,1,5,Stroop,630.8444444444444,29.109720068546448,36.620908086650566,8,0.17777777777777778,0.7781160876934665,3.223541923757667,2.4718890990075004e-06,5.5542017348825345e-12,0.001324469036938984,6.1591176035344495e-09,122,5.70774847573002,5.012276466783351,4.170723317275206,4.0448891382397045,26.532423749305906,61.554359104872944,-0.8415531495081446,42.12066941082678,31.515014134087153
15,1,6,Stroop,616.0,23.177391772192617,23.249123405634776,1,0.02127659574468085,0.41734652015250695,2.6644137306212343,2.1241884662471657e-06,3.987519593711316e-12,0.001259323861652398,3.835350144116862e-09,120,5.834424946178809,5.218284267545505,4.12023521416308,4.20096073589768,22.380869570680634,67.10480227360185,-1.0980490533824245,41.708697778299,30.928316176862765
16,1,7,Stroop,613.5,26.66614582824697,27.969588347711262,3,0.0625,0.7056668355452074,2.8536776221323823,2.3171991769341795e-06,4.829649833950683e-12,0.0013223004584969852,4.606955517951448e-09,125,5.852669609018251,5.318109711162849,4.152649230123163,3.9738193462091798,21.561897267348186,69.15761829557303,-1.1654604810396871,41.620866025500504,30.954984265827513
17,1,8,Stroop,612.0,37.30058087125901,31.802582525938817,6,0.125,0.23399952376573616,2.670209104711767,2.3835777982306577e-06,5.0764844901001045e-12,0.0013353272206807286,4.976944173311065e-09,111,6.140726589124308,5.336726640543662,4.920312319533727,4.391682254452063,35.72475612440318,54.17709503713189,-0.4164143210099359,39.252965671321384,27.834817856952373
18,1,9,Stroop,627.1304347826087,29.416505789342864,30.527219184051322,4,0.08695652173913043,0.7797952270924512,3.018743406642488,9.058673494771773e-06,8.123765267555283e-11,0.0016540299956421117,8.698313941397349e-08,139,6.138086268942394,5.259833673213385,5.195155621166504,4.16024251905993,45.20310164649401,48.22336993751213,-0.06467805204688178,36.75481863517392,23.634593845005067
19,1,10,Stroop,646.4888888888889,32.20256871895106,35.40929513303225,9,0.2,0.5840158313829388,2.350030947665844,2.4355304571385247e-06,5.253224068923616e-12,0.0013231636911719203,6.436012339299589e-09,118,5.93564879265655,4.991014204622095,5.17226403484645,3.6876304774914317,52.1120852498832,43.4733042457095,0.18124983022435506,36.70312985595884,23.234572510533894
20,1,1,Arithmetic,612.9166666666666,42.671142343378726,31.72219841594251,5,0.10416666666666667,1.2355553314486651,3.57290335557567,2.2213556702692162e-06,4.618326293339601e-12,0.0013191395838810353,4.2781430189968525e-09,126,5.838911623266094,5.232264705326114,4.728972225478674,3.572062752749277,36.768517992977515,60.82096019189649,-0.5032924798474405,40.789768505129544,29.654914928796202
21,1,2,Arithmetic,605.6666666666666,28.27051860546994,24.463607360861214,2,0.041666666666666664,0.5520797712527059,2.8424123628077913,9.34168741972049e-06,8.62359719249678e-11,0.001731112822174389,7.880221283453096e-08,122,5.7361402521876235,5.05114220230479,4.680545854422428,3.628550843683531,39.61270748595628,57.38289777598959,-0.3705963478823625,39.396337705736435,27.54146887834018
22,1,3,Arithmetic,607.8333333333334,32.77151540930358,27.323125580529062,5,0.10416666666666667,0.5181975499780818,2.4384845293153745,2.4175097317107614e-06,5.28818089466367e-12,0.0013557800682024478,5.067054313628377e-09,134,5.701282495587837,4.938162632391846,4.699653241453824,3.4613678184410572,41.104335464619915,52.17601949228899,-0.23850939093802245,40.012424983140946,28.6415275481359
23,1,4,Arithmetic,586.5,26.07201564896738,24.23993539770901,1,0.020833333333333332,0.5126970959331286,2.9506636109672435,9.805892972890698e-06,9.50830747744462e-11,0.0019016294538811234,7.96167846325118e-08,125,5.751811068611234,4.969720534852491,4.677290716241068,3.635939120641179,38.82574490718017,52.01402395889876,-0.29242981861142203,41.17910204834608,30.594965064803457
24,1,5,Arithmetic,598.530612244898,26.49228000050498,21.283796653792763,2,0.04081632653061224,-0.1748340423981911,1.8351739368372078,2.6684107349067042e-06,6.620969590851838e-12,0.0014313357468574675,5.852981828835908e-09,124,5.861069616883528,5.15331220609919,4.6629851942096465,3.842925798263695,34.80249061161598,56.82725006847772,-0.4903270118895429,41.73322786456482,31.76836097925223
25,1,6,Arithmetic,579.8367346938776,23.698227729115974,19.28730152198591,0,0.0,0.6416843230350731,3.26504978587014,2.7830854355659953e-06,6.4754285757325856e-12,0.0014717927894905116,5.654262115411483e-09,103,5.922056161576854,5.129164110967937,4.8451381049444455,3.980306725105454,39.76940696386976,52.8323637891425,-0.2840260060234921,41.09869582789323,31.074990666168862
26,1,7,Arithmetic,600.6666666666666,30.45579674800112,27.37913477954692,3,0.0625,0.5934013983494374,3.8057312374107033,2.565038518437348e-06,5.862324916645277e-12,0.0013702072097631812,5.197743854843139e-09,130,5.914202347987067,5.084943411135274,4.773608086787483,4.273806134674103,39.651444126406666,54.134012957633956,-0.311335324347791,40.27279513942995,29.874926662755346
27,1,8,Arithmetic,592.4081632653061,37.429617415780676,24.979991993593593,2,0.04081632653061224,0.5888119521480687,2.833686017390053,1.041849149625074e-05,1.0702038067909492e-10,0.0018100150391091084,9.324012498434868e-08,141,5.757711422405183,4.980947438537909,4.559564835381249,3.846054255760447,35.41016542519915,53.96747449772852,-0.42138260315665943,41.191088697113344,30.761640620833113
28,1,9,Arithmetic,593.5510204081633,26.345476492404313,20.37154878746336,1,0.02040816326530612,0.16995959617445378,2.272232756145523,3.502443581180922e-06,1.1985943372253098e-11,0.0016004815063814081,1.0561982604885037e-08,134,5.682598518454231,4.75447107780659,4.495695115433842,3.9693260345008308,37.22769587125623,48.22265634684257,-0.25877596237274847,41.856441622979496,31.561683289775456
29,1,10,Arithmetic,570.8,28.669147179502914,21.51790901001455,1,0.02,1.1703945817431192,4.61318074367121,4.6688477058319005e-06,2.106832089356481e-11,0.0016815881354554471,1.296989264564982e-08,83,5.636506483375234,4.645565712804364,4.535141777340155,4.146609055641648,42.91444728430589,47.92476911263294,-0.11042393546420894,41.77360498694127,31.20833111099259
30,1,1,Speech,599.6734693877551,43.72706991173076,27.970222261064237,5,0.10204081632653061,0.9220657912442096,2.8471761742058357,3.9456876787953705e-06,1.42966903721089e-11,0.0016254682595560192,1.3373299631135334e-08,120,5.962861510594677,5.181137620169709,4.938021760359058,3.7103254608527187,40.10134159977056,51.13788694161055,-0.24311585981065037,41.33815261610531,30.674969331697692
31,1,2,Speech,627.304347826087,45.34163532714591,33.694048271006096,7,0.15217391304347827,1.0551778778373713,4.091758833412595,2.6328835503353146e-06,5.868962753635157e-12,0.0013863570515044812,6.647860682251612e-09,133,5.936798741207447,5.2302787149384935,4.507227895872299,4.202528697863085,29.073476570935163,59.91201801090723,-0.7230508190661944,42.174243748943255,31.92170249079951
32,1,3,Speech,614.695652173913,29.58324258707914,25.487251715318386,1,0.021739130434782608,0.5768284048287323,3.801778102298241,1.0588382381443532e-05,1.1012114008881052e-10,0.0017642323807104516,1.0000554657845208e-07,157,6.075652935738793,5.296357317256379,4.895001221009315,4.327936671329606,37.184288633559916,55.54771714555705,-0.40135609624706436,42.44029041228885,32.14838124699984
33,1,4,Speech,603.6666666666666,32.77024395528494,22.672506548493693,0,0.0,0.4927480468056118,3.147429161439794,2.736463039798334e-06,6.4562760087166986e-12,0.0014097415385478217,6.132860343941333e-09,123,6.123911411614871,5.247259349501853,5.149550643043233,4.198650287400619,44.187566069614334,48.723046163321335,-0.09770870645861912,42.72181091579882,32.441730225612034
34,1,5,Speech,634.9090909090909,30.97639730637901,28.883084290628222,2,0.045454545454545456,0.5437772051326654,2.5916027480765575,2.1112405540671224e-06,3.889305739035077e-12,0.0012524899187729699,4.207725823217941e-09,161,6.103466124177134,5.012004080069131,5.134787915055303,4.428512409515714,46.70755602358735,41.31072352670448,0.12278383498617161,37.89927425471877,25.328017494266362
35,1,6,Speech,624.2608695652174,27.730406151566065,27.48737083745107,4,0.08695652173913043,0.8880257728775379,3.7431656226620618,2.2279337253236226e-06,4.342084222242079e-12,0.0012818066369898763,4.576520967048512e-09,158,6.041787607930653,5.033871770133844,4.809210330757926,4.623943485432689,38.47373421780917,48.1652217294231,-0.22466143937591812,33.214996635881946,20.467758280441625
36,1,7,Speech,587.5833333333334,36.223745281544566,21.061207659702383,1,0.020833333333333332,0.09613878691006959,3.4874288752646363,4.419034836760177e-06,1.899365940518005e-11,0.001745153022635005,1.595426888190453e-08,145,6.171236532706123,5.1334648463285895,5.123718016634828,4.611143116383563,44.41251989076688,44.8475176391466,-0.009746829693761706,32.900024093153384,20.17440930182943
37,1,8,Speech,648.5454545454545,36.77539601508209,41.08301295533681,4,0.09090909090909091,1.6045813044102761,6.987004490008893,2.525159084394122e-06,5.905621354985487e-12,0.0013406886809875663,7.473174086555844e-09,187,5.8937836228984,5.090385903544396,4.821616843663317,4.076353857603958,40.864799445216285,53.465581108297044,-0.2687690598810792,33.31731295813795,20.461091258200437
38,1,9,Speech,598.48,42.99871625990711,17.851999259215212,0,0.0,0.24847192921983488,1.6764940480364399,8.274545043829635e-06,6.824260625202997e-11,0.0019742710028022924,5.4021327493386434e-08,113,5.870144969578076,4.81306607592493,4.952396991220355,4.086484964102514,48.00818701578523,41.76424722144655,0.13933091529542438,39.878076421497894,28.588191370206413
