,ECG
0,33344
1,33600
2,33664
3,33408
4,33216
5,33280
6,33472
7,33792
8,33984
9,33856
10,33600
11,33536
12,33600
13,33856
14,34112
15,34432
16,34304
17,34048
18,33920
19,34176
20,34368
21,34048
22,33536
23,33472
24,33856
25,34240
26,34432
27,34368
28,34240
29,34240
30,34624
31,35008
32,35136
33,34880
34,34752
35,34880
36,34688
37,34048
38,33600
39,33408
40,33408
41,33408
42,33280
43,32960
44,32896
45,32896
46,32960
47,33152
48,33536
49,33728
50,33728
51,33536
52,33280
53,33216
54,33216
55,33344
56,33472
57,33408
58,33216
59,32960
60,32896
61,33216
62,33920
63,35008
64,36864
65,39488
66,42432
67,45184
68,46592
69,45696
70,42112
71,37376
72,32960
73,29888
74,28672
75,28608
76,29312
77,30208
78,30784
79,31552
80,32192
81,32512
82,32832
83,33088
84,33408
85,33664
86,33344
87,33024
88,32896
89,33024
90,33216
91,33408
92,33664
93,33856
94,33984
95,34240
96,34368
97,34496
98,34496
99,34432
100,34432
101,34624
102,34880
103,35072
104,35200
105,35328
106,35456
107,35200
108,34816
109,34688
110,34752
111,34816
112,34752
113,34816
114,34944
115,34944
116,35072
117,35008
118,34944
119,35072
120,35136
121,35136
122,35072
123,34688
124,34304
125,34112
126,34112
127,33856
128,33408
129,33088
130,32768
131,32576
132,32576
133,32640
134,32576
135,32576
136,32704
137,32960
138,33024
139,33152
140,33536
141,33664
142,33344
143,33024
144,32960
145,33088
146,33280
147,33600
148,33856
149,33856
150,33664
151,33472
152,33408
153,33664
154,33920
155,33984
156,33984
157,34112
158,34176
159,34176
160,34112
161,33920
162,33728
163,33536
164,33600
165,33728
166,33856
167,33920
168,33920
169,33984
170,34112
171,34176
172,34176
173,34048
174,33920
175,33984
176,34368
177,35072
178,35328
179,34944
180,34560
181,34432
182,34496
183,34496
184,34496
185,34496
186,34240
187,34048
188,34048
189,34112
190,34176
191,34112
192,33984
193,33728
194,33344
195,32832
196,32640
197,32704
198,32960
199,33088
200,33088
201,33216
202,33472
203,33536
204,33664
205,33856
206,33920
207,33920
208,33728
209,33664
210,33536
211,33408
212,33472
213,34240
214,36032
215,38848
216,41856
217,44480
218,46208
219,46144
220,43328
221,38848
222,34048
223,30784
224,28864
225,28480
226,29248
227,30272
228,31040
229,31680
230,32256
231,32896
232,33472
233,33536
234,33024
235,32576
236,32384
237,32640
238,33088
239,33408
240,33472
241,33472
242,33664
243,33920
244,34112
245,34112
246,34240
247,34496
248,34688
249,34752
250,34624
251,34752
252,34880
253,34944
254,35008
255,34880
256,34752
257,34688
258,34816
259,35072
260,35392
261,35520
262,35520
263,35520
264,35392
265,35328
266,35392
267,35456
268,35456
269,35392
270,35328
271,35136
272,35008
273,34112
274,33728
275,33536
276,33536
277,33664
278,33600
279,33344
280,33024
281,32896
282,32576
283,32320
284,32128
285,32128
286,32320
287,32320
288,32768
289,33088
290,33472
291,33536
292,33216
293,33152
294,33536
295,33728
296,33664
297,33472
298,33408
299,33408
300,33408
301,33472
302,33472
303,33728
304,33792
305,33792
306,33792
307,33856
