,ECG
0,33280
1,33472
2,33600
3,33728
4,33920
5,34048
6,34176
7,34176
8,34048
9,33792
10,33664
11,33792
12,34304
13,34240
14,34176
15,33984
16,33920
17,33920
18,34048
19,34112
20,34304
21,34496
22,34368
23,34048
24,33728
25,33472
26,33216
27,33152
28,33152
29,33280
30,33472
31,33664
32,33856
33,34112
34,34240
35,34368
36,34304
37,34240
38,34240
39,34304
40,34496
41,34816
42,34880
43,34752
44,34240
45,34048
46,33920
47,33920
48,33984
49,34112
50,34240
51,34304
52,34368
53,34560
54,34688
55,34752
56,34816
57,34880
58,34944
59,34880
60,34624
61,34304
62,34048
63,33728
64,33472
65,33280
66,33216
67,33152
68,33152
69,33152
70,33152
71,33280
72,33408
73,33536
74,33664
75,33728
76,33728
77,33792
78,33856
79,33984
80,33984
81,33984
82,34048
83,34112
84,34048
85,33920
86,33792
87,33792
88,34048
89,34496
90,35392
91,36672
92,38336
93,40192
94,41536
95,41792
96,40640
97,38336
98,35456
99,32896
100,31104
101,30144
102,29952
103,30336
104,30976
105,31744
106,32320
107,32704
108,33152
109,33472
110,33664
111,33728
112,33728
113,33792
114,33728
115,33728
116,33728
117,33792
118,33792
119,33856
120,33856
121,33856
122,33856
123,33856
124,33856
125,33856
126,33856
127,33856
128,33856
129,33920
130,33984
131,34048
132,34112
133,34112
134,34176
135,34176
136,34240
137,34304
138,34368
139,34432
140,34432
141,34496
142,34560
143,34560
144,34560
145,34688
146,34816
147,34944
148,34944
149,34944
150,34944
151,34816
152,34752
153,34688
154,34624
155,34560
156,34496
157,34368
158,34368
159,34304
160,34176
161,33984
162,33920
163,33920
164,33920
165,33792
166,33728
167,33664
168,33664
169,33536
170,33408
171,33280
172,33216
173,33344
174,33408
175,33472
176,33600
177,33664
178,33728
179,33728
180,33728
181,33664
182,33728
183,33984
184,34112
185,34112
186,34048
187,33984
188,33984
189,33984
190,33920
191,33856
192,33856
193,33920
194,34048
195,34240
196,34368
197,34432
198,34304
199,34048
200,33920
201,33920
202,34048
203,34304
204,34624
205,34752
206,34752
207,34624
208,34368
209,34240
210,34304
211,34368
212,34432
213,34560
214,34624
215,34624
216,34624
217,34752
218,34752
219,34496
220,34176
221,33856
222,33728
223,33600
224,33536
225,33408
226,33408
227,33408
228,33664
229,33920
230,33984
231,34048
232,33984
233,33920
234,33856
235,33984
236,34048
237,34176
238,34176
239,34048
240,33792
241,33600
242,33600
243,33728
244,33792
245,33856
246,34240
247,35328
248,36736
249,38528
250,40448
251,41856
252,42176
253,41088
254,38848
255,35904
256,33152
257,31168
258,30272
259,30208
260,30656
261,31360
262,32064
263,32512
264,32640
265,32768
266,33088
267,33408
268,33664
269,33856
270,33856
271,33792
272,33728
273,33856
274,33984
275,34112
276,34176
277,34112
278,34048
279,33920
280,33856
281,33920
282,34048
283,34176
284,34304
285,34304
286,34240
287,34176
288,34112
289,34048
290,34048
291,34112
292,34304
293,34304
294,34368
295,34432
296,34560
297,34624
298,34752
299,34816
300,34944
301,35072
302,35136
303,35264
304,35392
305,35392
306,35328
307,35072
308,34880
309,34880
310,35008
311,35200
312,35264
313,35136
314,34816
315,34560
316,34368
317,34240
318,34112
319,33920
320,33728
321,33600
322,33600
323,33728
324,33792
325,33792
326,33792
327,33728
328,33664
329,33728
330,33856
331,33984
332,33984
333,33920
334,33856
335,33920
336,33920
337,33856
338,33856
339,33984
340,34176
341,34176
342,34112
343,33920
344,33728
345,33792
346,33792
347,33792
348,33984
349,34048
350,34048
351,34048
352,34112
353,34176
354,34304
355,34304
356,34176
357,33856
358,33728
359,33856
360,33984
361,34048
362,33984
363,33792
364,33792
365,33728
366,33728
367,33728
368,33728
369,33792
370,33984
371,34112
372,34048
373,33984
374,33984
375,34176
376,34240
377,34304
378,34304
379,34304
380,34368
381,34368
382,34240
383,34048
384,33920
385,33792
386,33728
387,33600
388,33536
389,33408
390,33344
391,33216
392,33088
393,32832
394,32704
395,32768
396,32960
397,33152
398,33408
399,33472
400,33344
401,33216
402,33088
403,33024
404,33088
405,33152
406,33280
407,33344
408,33408
409,33408
410,33344
411,33408
412,33664
413,34112
414,35072
415,36416
416,38080
417,39872
418,40896
419,40768
420,39424
421,37056
422,34240
423,31744
424,30144
425,29440
426,29376
