,ECG
0,35456
1,35648
2,35584
3,35520
4,35648
5,35968
6,36096
7,35648
8,35200
9,34880
10,34688
11,34560
12,34752
13,34944
14,35200
15,35584
16,35712
17,35904
18,36032
19,36160
20,36544
21,37120
22,38016
23,39424
24,41216
25,42752
26,42816
27,41152
28,38208
29,34944
30,32320
31,30528
32,29696
33,29760
34,30464
35,31424
36,32576
37,33600
38,34496
39,35136
40,35456
41,35584
42,35712
43,35840
44,35776
45,35584
46,35520
47,35456
48,35264
49,35136
50,35072
51,34880
52,34688
53,34432
54,34496
55,34688
56,35008
57,35328
58,35264
59,35136
60,35136
61,35136
62,35008
63,35072
64,35136
65,35072
66,35200
67,35264
68,35200
69,34944
70,34944
71,35072
72,35264
73,35392
74,35520
75,35456
76,35456
77,35904
78,35648
79,35072
80,34688
81,34688
82,34816
83,34880
84,34944
85,35008
86,34816
87,34496
88,34304
89,34368
90,34368
91,34304
92,34240
93,34176
94,34048
95,33920
96,33792
97,33664
98,33536
99,33600
100,33792
101,33920
102,33792
103,33600
104,33664
105,33856
106,33664
107,33536
108,33536
109,33472
110,33408
111,33664
112,33984
113,34176
114,34112
115,33792
116,33536
117,33536
118,33600
119,33792
120,33792
121,34176
122,34240
123,34240
124,34304
125,34240
126,34176
127,34048
128,34048
129,33984
130,33728
131,33664
132,33792
133,33792
134,33664
135,33600
136,33600
137,33728
138,33792
139,33728
140,33792
141,33792
142,33920
143,33984
144,34176
145,34368
146,34304
147,33920
148,33600
149,33600
150,33536
151,33792
152,34048
153,33920
154,33344
155,33216
156,32896
157,33024
158,33280
159,33536
160,33728
161,33856
162,34048
163,34176
164,34368
165,34304
166,34624
167,34624
168,34240
169,33792
170,33536
171,33536
172,33664
173,33664
174,33600
175,33536
176,33536
177,33472
178,33472
179,33920
180,33920
181,34624
182,34624
183,34112
184,33472
185,33152
186,33152
187,33408
188,33536
189,33600
190,33664
191,33792
192,33920
193,33856
194,33600
195,33344
196,33280
197,33408
198,33472
199,33536
200,33792
201,33920
202,33856
203,33856
204,33856
205,33984
206,34176
207,33920
208,33600
209,34304
210,34368
211,35520
212,36864
213,38720
214,40768
215,42048
216,41600
217,39040
218,35200
219,31680
220,29248
221,28096
222,28096
223,28864
224,30016
225,30016
226,31552
227,32192
228,32576
229,32896
230,33152
231,33472
232,33792
233,33984
234,33920
235,33856
236,33728
237,33664
238,33600
239,33600
240,33728
241,33856
242,33984
243,33920
244,33536
245,33344
246,33280
247,33152
248,33152
249,33344
250,33472
251,33600
252,33536
253,33600
254,33920
255,33920
256,34240
257,34304
258,34368
259,34368
260,34304
261,34048
262,33984
263,33984
264,34048
265,34176
266,34368
267,34560
268,34624
269,34560
270,34496
271,34496
272,34432
273,34432
274,34560
275,34688
276,34624
277,34432
278,34240
279,33856
280,33536
281,33344
282,33280
283,33344
284,33088
285,33024
286,32576
287,32512
288,32576
289,32512
290,32448
291,32512
292,32576
293,32704
294,32768
295,32704
296,32768
297,32960
298,33152
299,33088
300,32896
301,32768
302,32768
303,32896
304,33216
305,33600
306,33920
307,33728
308,33536
309,33408
310,33216
311,32960
312,32960
313,33152
314,33344
315,33408
316,33536
317,33664
318,33728
319,33600
320,33472
321,33408
322,33408
323,33728
324,33600
325,33216
326,33024
327,33024
328,33152
329,33472
330,33600
331,33600
332,33536
333,33600
334,33536
335,33536
336,33472
337,33408
338,33280
339,33152
340,33216
341,33408
342,33600
343,33600
344,33472
345,33344
346,33280
347,33280
348,33408
349,33536
350,33600
351,33600
352,33472
353,33280
354,33152
355,33152
356,33152
357,33216
358,33344
359,33472
360,33536
361,33472
362,33408
363,33408
364,33344
365,33344
366,33536
367,33728
368,33856
369,33856
370,33792
371,33792
372,33792
373,33856
374,33856
375,33728
376,33408
377,33216
378,33216
379,33280
380,33472
381,33664
382,33792
383,33728
384,33664
385,33536
386,33600
387,33600
388,33600
389,33664
390,33856
391,34048
392,33984
393,33792
394,33536
395,33280
396,33216
397,33408
398,33856
399,34368
400,35136
401,36288
402,37696
403,39488
404,41216
405,41920
406,40896
407,38272
408,34944
409,31488
410,29312
411,28032
412,27776
413,28480
414,29504
415,30656
416,31808
417,32704
418,33280
419,33664
420,33984
421,34176
422,34240
423,34112
424,34112
425,34112
426,34048
427,33728
428,33472
429,33344
430,33408
431,33600
432,33728
433,33856
434,33920
435,33984
436,34112
437,34176
438,33984
439,33536
440,33280
441,33344
442,33664
443,33920
444,33920
445,33984
446,33984
447,33984
448,34048
449,34432
450,34688
451,34688
452,34560
453,34432
454,34496
455,34816
456,35200
457,35584
458,35456
459,34944
460,34624
461,34368
462,34176
463,33984
464,33920
465,34048
466,34240
467,34304
468,34048
469,33664
470,33472
471,33408
472,33472
473,33536
474,33408
475,33280
476,33216
477,33152
478,32960
479,32896
480,32896
481,33024
482,33152
483,33024
484,32960
485,33088
486,33152
487,32768
488,32512
489,32448
490,32640
491,32832
492,33024
493,33280
494,33536
495,33536
496,33408
497,33216
498,33152
499,33216
500,33472
501,34112
502,34816
503,34624
504,33664
505,32832
506,32512
507,32576
508,32896
509,33152
510,33152
511,33088
512,33024
513,33088
514,33088
515,33152
516,33216
517,33344
518,33472
519,33536
520,33536
521,33600
522,33792
523,34048
524,34048
525,33792
526,33472
527,33344
528,33344
529,33536
530,33600
531,33664
532,33664
533,33600
534,33600
535,33664
536,33728
537,33792
538,33856
539,33664
540,33472
541,33408
542,33600
543,33856
544,34048
545,34176
546,34432
547,34496
548,34432
549,34240
550,34112
551,34112
552,34176
553,34432
554,34560
555,34624
556,34624
557,34688
558,34752
559,34816
560,34880
561,34752
562,34624
563,34560
564,34560
565,34496
566,34560
567,34752
568,35008
569,35136
570,34944
571,34816
572,34816
573,34688
574,34624
575,34752
576,35008
577,35200
578,35200
579,35200
580,35264
581,35264
582,35264
583,35392
584,35520
585,35712
586,35840
587,35904
588,36160
589,36736
590,37504
591,38592
592,40064
593,41920
594,43584
595,43840
596,41856
597,38592
598,35456
599,32896
600,31296
601,30656
602,30912
603,31744
604,32768
605,33856
606,34688
607,35392
608,35968
609,36544
610,36864
611,36992
612,37056
613,37120
614,37120
615,37120
616,37056
617,36992
618,36928
619,36928
620,36992
621,36928
622,36992
623,37120
624,37056
625,36992
626,37056
627,37120
628,37184
629,37312
630,37504
631,37440
632,37312
633,37312
634,37312
635,37376
636,37440
637,37632
638,37952
639,38208
640,38208
641,38016
642,38016
643,38080
644,38016
645,37952
646,38016
647,38144
648,38336
649,38464
650,38528
651,38528
652,38400
653,38336
654,38336
655,38336
656,38272
657,38080
658,37952
659,37952
660,37888
661,37696
662,37184
663,36864
664,36608
665,36416
666,36416
667,36544
668,36736
669,36672
670,36544
671,36480
672,36544
673,36608
674,36544
675,36608
676,36800
677,36928
678,36864
679,36736
680,36736
681,36672
682,36864
683,37056
684,37184
685,37312
686,37312
687,37120
688,36800
689,36480
690,36160
691,35968
692,36096
693,36160
694,36096
695,36096
696,36096
697,36160
698,36224
699,36288
700,36416
701,36352
702,36480
703,36544
704,36672
705,36736
706,36800
707,36928
708,36864
709,36352
710,35968
711,35904
712,36160
713,36224
714,36032
715,35776
716,35712
717,35776
718,35840
719,35904
720,35968
721,35968
722,35968
723,35904
724,35840
725,35840
726,35840
727,35712
728,35584
729,35520
730,35712
731,35712
732,36032
733,36032
734,35776
735,35712
736,35712
737,35776
738,35840
739,35712
740,35328
741,34944
742,34560
743,34432
744,34560
745,34944
746,35328
747,35584
748,35456
749,35072
750,34688
751,34432
752,34048
753,33984
754,34176
755,34368
756,34432
757,34496
758,34688
759,34880
760,34880
761,34752
762,34624
763,34688
764,34880
765,35200
766,35712
767,36608
768,37568
769,38592
770,40256
771,41600
772,42048
773,40512
774,37440
775,33728
776,31296
777,29632
778,28864
779,28864
780,29248
781,29888
782,30848
783,31872
784,32704
785,33344
786,33344
787,33472
788,33280
789,33088
790,33152
791,33344
792,33472
793,33536
794,33664
795,33664
796,33600
797,33472
798,33728
799,34112
800,34112
801,33728
802,33152
803,32832
804,32704
805,32512
806,32448
807,32384
808,32384
809,32448
810,32576
811,32640
812,32768
813,32896
814,33088
815,33280
816,33536
817,33728
818,33792
819,33792
820,33920
821,33984
822,34240
823,34560
824,34560
825,33664
826,32896
827,32384
828,32128
829,32128
830,32256
831,32448
832,32576
833,32640
834,32704
835,32704
836,32640
837,32640
838,32576
839,32256
840,31872
841,31808
842,31744
843,31552
844,31232
845,31104
846,30784
847,30464
848,30336
849,30400
850,30592
851,30784
852,31104
853,31296
854,31360
855,31360
856,31296
857,31232
858,31296
859,31488
860,31744
861,31872
862,31808
863,31936
864,32064
865,31872
866,31680
867,31424
868,31168
869,30912
870,30784
871,30784
872,30848
873,31040
874,31232
875,31232
876,31232
877,31360
878,31424
879,31552
880,31552
881,31552
882,31680
883,31744
884,31680
885,31360
886,31168
887,31104
888,31296
889,31424
890,31168
891,31104
892,31040
893,31168
894,31360
895,31296
896,31232
897,31232
898,31360
899,31552
900,31808
901,31936
902,31936
903,31936
904,32000
905,32128
906,32192
907,32256
908,32192
909,32192
910,32064
911,32000
912,31680
913,31232
914,30912
915,30784
916,30848
917,31104
918,31296
919,31424
920,31360
921,31232
922,31040
923,30784
924,30720
925,30848
926,30848
927,31040
928,31232
929,31424
930,31616
931,31744
932,31808
933,31808
934,32000
935,32576
936,33344
937,34304
938,35392
939,36736
940,39104
941,39232
942,39168
943,37120
944,33792
945,28928
946,28480
947,26560
948,26240
949,26432
950,27136
951,28032
952,29120
953,30080
954,30720
955,31296
956,31616
957,31808
958,31808
959,31936
960,32128
961,32256
962,32384
963,32384
964,32128
965,31872
966,31744
967,31872
968,32000
969,32000
970,32000
971,32192
972,32576
973,32640
974,32448
975,32192
976,32064
977,32128
978,32064
979,31744
980,31616
981,31616
982,31872
983,32256
984,32640
985,33024
986,33280
987,33408
988,33600
989,34048
990,34048
991,33728
992,33408
993,33344
994,33600
995,33728
996,33600
997,33344
998,32960
999,32704
1000,32640
1001,32768
1002,32640
1003,32384
1004,32256
1005,32384
1006,32448
1007,32256
1008,32064
1009,32000
1010,32064
1011,32000
1012,32128
1013,32256
1014,32256
1015,31808
1016,31744
1017,31808
1018,32128
1019,32256
1020,31808
1021,31424
1022,31040
1023,30912
1024,30976
1025,31168
1026,31424
1027,31744
1028,31936
1029,32192
1030,32384
1031,32512
1032,32576
1033,32704
1034,32960
1035,32832
1036,32576
1037,32512
1038,32576
1039,32704
1040,32704
1041,32832
1042,32896
1043,32704
1044,32384
1045,32256
1046,32192
1047,32064
1048,32000
1049,32128
1050,32512
1051,32704
1052,32960
1053,33088
1054,32896
1055,32512
1056,32192
1057,32128
1058,32384
1059,32832
1060,33152
1061,33088
1062,32896
1063,32832
1064,32768
1065,32448
1066,32384
1067,32640
1068,32896
1069,33088
1070,33280
1071,33408
1072,33152
1073,32704
1074,32832
1075,33408
1076,34176
1077,34496
1078,34112
1079,33088
1080,31872
1081,31680
1082,31680
1083,32192
1084,32960
1085,32960
1086,32704
1087,32384
1088,32064
1089,31872
1090,32000
1091,32128
1092,32192
1093,32128
1094,32128
1095,32320
1096,32896
1097,33600
1098,33792
1099,33792
1100,33344
1101,32960
1102,32192
1103,31552
