,ECG
0,33344
1,33216
2,33216
3,33280
4,33344
5,33344
6,33280
7,33280
8,33280
9,33280
10,33344
11,33408
12,33472
13,33472
14,33472
15,33536
16,33664
17,33664
18,33664
19,33600
20,33600
21,33600
22,33664
23,33728
24,33792
25,33920
26,33984
27,34048
28,34112
29,34112
30,34112
31,33984
32,33920
33,33920
34,33920
35,33984
36,33984
37,33920
38,33856
39,33792
40,33792
41,33792
42,33792
43,33792
44,33856
45,33856
46,33856
47,33856
48,33856
49,33984
50,33984
51,33920
52,33856
53,33792
54,33856
55,33856
56,33984
57,34048
58,34112
59,34176
60,34240
61,34304
62,34304
63,34240
64,34240
65,34304
66,34496
67,34688
68,34816
69,34880
70,34880
71,34816
72,34816
73,34752
74,34688
75,34432
76,34176
77,33792
78,33472
79,33216
80,33088
81,33024
82,33088
83,33152
84,33152
85,33152
86,33216
87,33344
88,33408
89,33472
90,33600
91,33600
92,33536
93,33280
94,33024
95,32704
96,32704
97,33152
98,34112
99,35968
100,38720
101,42368
102,45952
103,48192
104,48384
105,46528
106,42816
107,38208
108,33792
109,30400
110,28352
111,27328
112,27136
113,27712
114,28416
115,29248
116,29952
117,30528
118,31040
119,31488
120,31936
121,32256
122,32512
123,32704
124,32832
125,32960
126,33024
127,33152
128,33280
129,33344
130,33472
131,33536
132,33664
133,33728
134,33728
135,33728
136,33664
137,33600
138,33600
139,33856
140,33984
141,34112
142,34176
143,34240
144,34304
145,34368
146,34496
147,34560
148,34624
149,34560
150,34560
151,34560
152,34496
153,34496
154,34432
155,34432
156,34368
157,34304
158,34176
159,34048
160,33856
161,33728
162,33600
163,33472
164,33344
165,33344
166,33344
167,33344
168,33280
169,33280
170,33280
171,33216
172,33216
173,33152
174,33280
175,33216
176,33152
177,33152
178,33216
179,33216
180,33280
181,33344
182,33408
183,33408
184,33408
185,33472
186,33536
187,33600
188,33600
189,33792
190,33792
191,33664
192,33600
193,33600
194,33728
195,33792
196,33792
197,33792
198,33856
199,33856
200,33920
201,33920
202,33984
203,33984
204,33984
205,34048
206,34048
207,33984
208,33920
209,33856
210,33920
211,33920
212,33856
213,33792
214,33728
215,33728
216,33728
217,33728
218,33792
219,33792
220,33792
221,33792
222,33792
223,33792
224,33728
225,33728
226,33728
227,33728
228,33856
229,33920
230,34112
231,34240
232,34304
233,34304
234,34368
235,34496
236,34624
237,34752
238,34816
239,34880
240,34880
241,34816
242,34752
243,34688
244,34496
245,34304
246,34112
247,33920
248,33728
249,33408
250,33152
251,33024
252,32960
253,32960
254,32960
255,33024
256,33088
257,33216
258,33280
259,33344
260,33344
261,33344
262,33344
263,33344
264,33216
265,33024
266,32896
267,33152
268,33984
269,35712
270,38272
271,41792
272,45376
273,47744
274,48256
275,46720
276,43264
277,38016
278,37760
279,30784
280,28480
281,27328
282,27008
283,27456
284,28352
285,29248
286,30144
287,30848
288,31296
289,31680
290,32000
291,32256
292,32512
293,32704
294,32832
295,32960
296,33088
297,33216
298,33280
299,33344
300,33408
301,33472
302,33536
303,33536
304,33664
305,33664
306,33728
307,33856
308,33984
309,34112
310,34112
311,34048
312,34048
313,34048
314,34176
315,34304
316,34368
317,34496
318,34560
319,34624
320,34624
321,34688
322,34688
323,34560
324,34432
325,34368
326,34432
327,34368
328,34176
329,33920
330,33792
331,33664
332,33664
333,33664
334,33664
335,33664
336,33664
337,33664
338,33664
339,33600
340,33600
341,33600
342,33536
343,33536
344,33536
345,33472
346,33472
347,33408
348,33472
349,33472
350,33536
351,33536
352,33536
353,33600
354,33664
355,33664
356,33728
357,33792
358,33792
359,33856
360,33920
361,33984
362,33920
363,33984
364,33984
365,33984
366,33920
367,33984
368,33984
369,34048
370,34048
371,34112
372,34112
373,34176
374,34176
375,34176
376,34176
377,34176
378,34112
379,34112
380,34176
381,34176
382,34112
383,33984
