,ECG
0,31616
1,32000
2,32448
3,32704
4,32896
5,33088
6,33216
7,33280
8,33280
9,33344
10,33408
11,33472
12,33536
13,33536
14,33536
15,33600
16,33600
17,33664
18,33792
19,34048
20,34048
21,33856
22,33792
23,33856
24,33920
25,33984
26,34112
27,34368
28,34432
29,34368
30,34368
31,34560
32,34688
33,34752
34,34880
35,35072
36,35200
37,35264
38,35520
39,35712
40,35776
41,35712
42,35840
43,35968
44,36032
45,35968
46,36032
47,36032
48,35968
49,35840
50,35776
51,35712
52,35712
53,35456
54,35072
55,34752
56,34432
57,34048
58,33664
59,33280
60,33088
61,32960
62,32832
63,32640
64,32512
65,32448
66,32320
67,32384
68,32512
69,32704
70,32832
71,33024
72,33152
73,33216
74,33152
75,33088
76,33088
77,33216
78,33216
79,33216
80,33344
81,33536
82,33600
83,33600
84,33600
85,33664
86,33728
87,33728
88,33728
89,33920
90,33920
91,33728
92,33664
93,33728
94,33792
95,33856
96,33920
97,33920
98,33984
99,33920
100,33920
101,33856
102,33856
103,33728
104,33664
105,33728
106,33856
107,33920
108,33984
109,33984
110,33856
111,33728
112,33664
113,33664
114,33728
115,33664
116,33664
117,33728
118,33856
119,33856
120,33728
121,33600
122,33664
123,33728
124,33792
125,33792
126,33792
127,33856
128,33984
129,34176
130,34368
131,34560
132,34688
133,34688
134,34816
135,35008
136,35136
137,35136
138,34944
139,34816
140,34624
141,34304
142,34048
143,33856
144,33664
145,33472
146,33344
147,33344
148,33280
149,33216
150,33152
151,33216
152,33152
153,33088
154,33088
155,33216
156,33344
157,33472
158,33472
159,33536
160,33536
161,33600
162,33664
163,33728
164,33664
165,33472
166,33216
167,33408
168,34304
169,35840
170,37888
171,40576
172,43840
173,46656
174,47616
175,45824
176,42752
177,39296
178,35840
179,32768
180,30592
181,29376
182,28800
183,28864
184,29312
185,30016
186,30656
187,31168
188,31552
189,31872
190,32256
191,32512
192,32576
193,32768
194,32832
195,32832
196,32896
197,32960
198,33024
199,33088
200,33152
201,33216
202,33280
203,33344
204,33344
205,33344
206,33536
207,33728
208,33728
209,33728
210,33792
211,33792
212,33792
213,33856
214,33984
215,34112
216,34176
217,34304
218,34368
219,34432
220,34496
221,34624
222,34752
223,34880
224,35008
225,35136
226,35264
227,35392
228,35456
229,35584
230,35776
231,35968
232,36032
233,35904
234,35840
235,35776
236,35712
237,35648
238,35584
239,35520
240,35392
241,35072
242,34688
243,34304
244,33984
245,33600
246,33216
247,33024
248,32768
249,32576
250,32384
251,32256
252,32128
253,32064
254,32192
255,32320
256,32320
257,32320
258,32384
259,32512
260,32576
261,32704
262,32768
263,32896
264,32960
265,33024
266,33152
267,33152
268,33152
269,33152
270,33088
271,33088
272,33216
273,33344
274,33408
275,33600
276,33792
277,33728
278,33536
279,33408
280,33408
281,33536
282,33600
283,33536
284,33600
285,33664
286,33728
287,33664
288,33600
289,33600
290,33664
291,33664
292,33728
293,33856
294,33856
295,33792
296,33664
297,33600
298,33600
299,33664
300,33664
301,33728
302,33792
303,33856
304,33792
305,33792
306,33792
307,33792
308,33664
309,33600
310,33664
311,33728
312,33728
313,33792
314,33920
315,33856
316,33728
317,33664
318,33792
319,33856
320,33856
321,33792
322,33856
323,33920
324,33792
325,33728
326,33728
327,33920
328,34112
329,34240
330,34304
331,34560
332,34816
333,35008
334,35072
335,35200
336,35328
337,35328
338,35200
339,35008
340,34816
341,34432
342,34048
343,33792
344,33664
345,33472
346,33344
347,33280
348,33344
349,33344
350,33344
351,33344
352,33472
353,33600
354,33600
355,33536
356,33536
357,33600
358,33536
359,33536
360,33664
361,33856
362,33856
363,33856
364,33792
365,33536
366,33408
367,33792
368,34816
369,36608
370,38912
371,41984
372,45184
373,47616
374,47744
375,45504
376,42112
377,38400
378,34880
379,32000
380,30080
381,29120
382,28864
383,29120
384,29632
385,30272
386,30912
387,31296
388,31680
389,32064
390,32384
391,32512
392,32640
393,32768
394,32960
395,33152
396,33152
397,33216
398,33280
399,33344
400,33536
401,33536
402,33344
403,33280
404,33280
405,33408
406,33536
407,33536
408,33536
409,33600
410,33728
411,33920
412,34048
413,34176
414,34240
415,34304
416,34304
417,34368
418,34496
419,34624
420,34752
421,34816
422,34880
423,35072
424,35136
425,35200
426,35392
427,35712
428,35840
429,35776
430,35648
431,35712
432,35776
433,35776
434,35712
435,35776
436,35840
437,35776
438,35648
439,35584
440,35456
441,35200
442,34752
443,34368
444,34048
445,33664
446,33216
447,32896
448,32768
449,32576
450,32320
451,32192
452,32256
453,32384
454,32256
455,32128
456,32192
457,32320
458,32384
459,32448
460,32640
461,32768
462,32832
463,32832
464,32832
465,32896
466,32896
467,32960
468,33088
469,33280
470,33408
471,33344
472,33344
473,33472
474,33664
475,33792
476,33856
477,33920
478,33920
479,33856
480,33920
481,33984
482,34048
483,34048
484,34048
485,34048
486,34048
487,33984
488,33920
489,33920
490,33920
491,33856
492,33856
493,33856
494,33984
495,34048
496,34048
497,33984
498,33984
499,33728
500,33536
501,33472
502,33536
503,33600
504,33600
505,33664
506,33792
507,33856
508,33792
509,33792
510,33792
511,33792
512,33856
513,33792
514,33792
515,33856
516,33792
517,33728
518,33792
519,33920
520,33792
521,33728
522,33664
523,33600
524,33600
525,33600
526,33664
527,33856
528,33920
529,33856
530,33856
531,33856
532,33920
533,33856
534,33856
535,33984
536,33984
537,33856
538,33920
539,33920
540,33856
541,33792
542,33792
543,33792
544,33856
545,33856
546,33984
547,34048
548,34048
549,33984
550,33920
551,33856
552,33920
553,33984
554,34176
555,34304
556,34496
557,34624
558,34752
559,34880
560,35072
561,35136
562,35264
563,35328
564,35392
565,35200
566,34752
567,34304
568,33984
569,33856
570,33728
571,33536
572,33344
573,33280
574,33216
575,33216
576,33280
577,33472
578,33536
579,33600
580,33600
581,33600
582,33728
583,33728
584,33600
585,33664
586,33728
587,33728
588,33728
589,33792
590,33984
591,33728
592,33408
593,33536
594,34368
595,35904
596,38016
597,40832
598,44160
599,47040
600,48128
601,46528
602,43456
603,39744
604,36032
605,32832
606,30656
607,29376
608,28864
609,28992
610,29376
611,29952
612,30592
613,30976
614,31360
615,31808
616,32064
617,32320
618,32576
619,32832
620,33024
621,33024
622,32960
623,33024
624,33216
625,33408
626,33408
627,33280
628,33216
629,33216
630,33216
631,33344
632,33472
633,33472
634,33472
635,33472
636,33600
637,33664
638,33792
639,33920
640,34112
641,34304
642,34368
643,34304
644,34368
645,34432
646,34368
647,34432
648,34624
649,34752
650,34880
651,35008
652,35200
653,35328
654,35456
655,35520
656,35648
657,35712
658,35776
659,35776
660,35840
661,35904
662,35904
663,35840
664,35840
665,35712
666,35456
667,35200
668,34880
669,34688
670,34368
671,33920
672,33536
673,33216
674,32896
675,32576
676,32256
677,32128
678,32064
679,32000
680,32000
681,32064
682,32192
683,32256
684,32384
685,32448
686,32448
687,32384
688,32384
689,32512
690,32704
691,32768
692,32832
693,32768
694,32832
695,32960
696,33024
697,32960
698,33088
699,33088
700,33024
701,33024
702,33152
703,33216
704,33216
705,33152
706,33152
707,33216
708,33280
709,33344
710,33408
711,33536
712,33664
713,33600
714,33472
715,33472
716,33408
717,33280
718,33216
719,33280
720,33408
721,33472
722,33536
723,33536
724,33472
725,33408
726,33408
727,33408
728,33472
729,33408
730,33472
731,33600
732,33792
733,33728
734,33472
735,33344
736,33408
737,33408
738,33344
739,33408
740,33536
741,33600
742,33536
743,33536
744,33600
745,33600
746,33600
747,33600
748,33600
749,33600
750,33536
751,33536
752,33600
753,33664
754,33664
755,33728
756,33856
757,33920
758,33856
759,33728
760,33728
761,33728
762,33600
763,33472
764,33600
765,33664
766,33728
767,33792
768,33856
769,33856
770,33856
771,33792
772,33792
773,33856
774,33792
775,33792
776,33792
777,33792
778,33856
779,33792
780,33792
781,33920
782,33984
783,33920
784,33728
785,33728
